01.06.2020 00:00;Bel_A53_M5_3007;Vwz_A53_M5_3007;Bel_A57_M2_1138;Vwz_A57_M2_1138;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_D31;Vwz_D31;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_D43;Vwz_D43;Bel_Fiber_reserve;Vwz_Fiber_reserve;Bel_H53_M3_3006;Vwz_H53_M3_3006;Bel_H53_M6_1140;Vwz_H53_M6_1140;Bel_H57_M1_1137;Vwz_H57_M1_1137;Bel_LLB-Test;Vwz_LLB-Test;Bel_Power_on;Vwz_Power_on;Bel_Sync;Vwz_Sync;Bel_foult;Vwz_foult
07.12.2021 02:00;0;0;0;0;2;1360;2;580;1;25170;0;3600000;8;10470;25;21180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.12.2021 03:00;2;2000;0;0;2;28470;4;3970;3;27650;0;3600000;4;22540;22;19000;0;0;0;0;2;1990;0;0;2;2000;0;0;0;0;0;0;0;0
07.12.2021 04:00;7;6970;0;0;1;970;4;4260;0;0;0;3600000;9;34870;22;19260;0;0;0;0;9;8980;0;0;9;8980;0;0;0;0;0;0;0;0
07.12.2021 05:00;23;23946;0;0;6;78645;14;21410;1;780;0;3600000;26;176947;91;99580;0;0;0;0;27;27250;0;0;26;25930;0;0;0;0;0;0;0;0
07.12.2021 06:00;29;28900;0;0;17;411789;32;72331;4;79230;0;3600000;36;173567;251;335330;0;0;0;0;34;33920;1;1000;34;33950;0;0;0;0;0;0;0;0
07.12.2021 07:00;36;35970;0;0;51;777973;93;465110;11;11080;0;3600000;113;580832;442;642936;0;0;0;0;37;36930;4;3990;36;35950;0;0;0;0;0;0;0;0
07.12.2021 08:00;34;33970;0;0;69;709040;179;667006;13;139730;0;3600000;175;752525;517;875513;0;0;0;0;40;40639;2;2000;41;41821;0;0;0;0;0;0;0;0
07.12.2021 09:00;33;33058;0;0;78;893764;229;1205308;35;246050;0;3600000;174;719422;581;1214321;0;0;0;0;32;31940;1;1000;32;31970;0;0;0;0;0;0;0;0
07.12.2021 10:00;30;29970;0;0;92;1320097;204;952852;51;324230;0;3600000;194;998681;540;709740;0;0;0;0;34;33990;0;0;35;34960;0;0;0;0;0;0;0;0
07.12.2021 11:00;31;30960;0;0;93;1252787;182;1029832;85;522793;0;3600000;146;665190;513;679674;0;0;0;0;31;30970;0;0;32;31970;0;0;0;0;0;0;0;0
07.12.2021 12:00;31;30930;0;0;70;798797;145;756554;112;524250;0;3600000;152;804383;507;633588;0;0;0;0;35;34960;0;0;34;33960;0;0;0;0;0;0;0;0
07.12.2021 13:00;33;33000;0;0;76;1093556;162;890188;77;581256;0;3600000;171;768196;565;698317;0;0;0;0;39;38970;0;0;39;38930;0;0;0;0;0;0;0;0
07.12.2021 14:00;39;38930;0;0;88;883797;185;734371;116;616698;0;3600000;176;1035240;612;787925;0;0;0;0;38;37970;0;0;39;39518;0;0;0;0;0;0;0;0
07.12.2021 15:00;35;34940;0;0;87;1082263;189;1022484;85;573540;0;3600000;176;857958;663;1124271;0;0;0;0;34;33974;0;0;33;34311;0;0;0;0;0;0;0;0
07.12.2021 16:00;33;32970;0;0;93;1244923;206;1135648;86;384269;0;3600000;140;707420;728;1226554;0;0;0;0;38;37980;0;0;39;38950;0;0;0;0;0;0;0;0
07.12.2021 17:00;32;31940;0;0;90;1126062;166;855171;95;515364;0;3600000;133;628375;727;1485285;0;0;0;0;36;35970;0;0;38;37960;0;0;0;0;0;0;0;0
07.12.2021 18:00;35;34890;0;0;88;1010913;143;698908;85;463424;0;3600000;130;732862;601;1011510;0;0;0;0;34;33980;0;0;36;35940;0;0;0;0;0;0;0;0
07.12.2021 19:00;30;29980;0;0;44;640604;96;357000;63;349543;0;3600000;81;398014;365;590333;0;0;0;0;35;34970;0;0;35;34970;0;0;0;0;0;0;0;0
07.12.2021 20:00;28;27950;0;0;40;436911;59;165520;27;99340;0;3600000;57;367336;268;354310;0;0;0;0;29;28990;0;0;29;29000;0;0;0;0;0;0;0;0
07.12.2021 21:00;22;21950;0;0;13;110253;28;37780;15;183900;0;3600000;40;181090;209;245640;0;0;0;0;22;21960;0;0;21;20980;0;0;0;0;0;0;0;0
07.12.2021 22:00;20;19980;0;0;10;111550;34;30470;8;54110;0;3600000;25;168330;141;171622;0;0;0;0;19;18970;0;0;18;17960;0;0;0;0;0;0;0;0
07.12.2021 23:00;13;12980;0;0;7;37810;16;12590;1;17740;0;3600000;17;74650;88;95179;0;0;0;0;14;13990;0;0;14;14000;0;0;0;0;0;0;0;0
08.12.2021 00:00;13;12980;0;0;4;4960;7;5050;1;8140;0;3600000;11;12220;54;62090;0;0;0;0;8;7990;0;0;8;7980;0;0;0;0;0;0;0;0
