01.06.2020 00:00;Bel_TF35;Vwz_TF35;Bel_TF35a;Vwz_TF35a;Bel_TF36;Vwz_TF36;Bel_TF36a;Vwz_TF36a
20.06.2020 20:00;0;0;0;0;5;1200;0;0
20.06.2020 21:00;4;600;0;0;0;0;0;0
20.06.2020 22:00;0;0;1;0;2;0;0;0
20.06.2020 23:00;0;0;0;0;13;1800;0;0
21.06.2020 00:00;0;0;12;600;0;0;0;0
21.06.2020 01:00;0;0;0;0;0;0;0;0
21.06.2020 02:00;0;0;0;0;0;0;0;0
21.06.2020 03:00;0;0;0;0;0;0;0;0
21.06.2020 04:00;0;0;0;0;0;0;0;0
21.06.2020 05:00;0;0;0;0;0;0;0;0
21.06.2020 06:00;0;0;0;0;0;0;0;0
21.06.2020 07:00;0;0;0;0;0;0;0;0
21.06.2020 08:00;0;0;1;2400;0;0;0;0
