01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_D43;Vwz_D43;Bel_FQMC55;Vwz_FQMC55;Bel_ST51a;Vwz_ST51a;Bel_ST51b;Vwz_ST51b;Bel_ST55;Vwz_ST55;Bel_T32a;Vwz_T32a;Bel_T32b;Vwz_T32b;Bel_T32b_a;Vwz_T32b_a;Bel_T32b_b;Vwz_T32b_b;Bel_T33b_a;Vwz_T33b_a;Bel_T33b_b;Vwz_T33b_b;Bel_T35b_a;Vwz_T35b_a;Bel_T35b_b;Vwz_T35b_b;Bel_V11;Vwz_V11;Bel_V1_Stoer;Vwz_V1_Stoer;Bel_V21;Vwz_V21;Bel_V211;Vwz_V211;Bel_V2_Stoer;Vwz_V2_Stoer;Bel_V321;Vwz_V321;Bel_V3_Stoer;Vwz_V3_Stoer;Bel_V44;Vwz_V44;Bel_V4_Stoer;Vwz_V4_Stoer;Bel_V5_Stoer;Vwz_V5_Stoer;Bel_V81;Vwz_V81;Bel_V91;Vwz_V91
04.06.2020 00:00;0;0;0;0;0;0;0;0;1;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;56400;0;0
04.06.2020 01:00;0;0;0;0;2;18600;0;0;1;27600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;20400;0;0
04.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6000;0;0
04.06.2020 03:00;2;14400;0;0;1;1200;0;0;14;60000;0;0;2;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;11;25200;0;0
04.06.2020 04:00;2;1200;0;0;1;600;0;0;8;54000;0;0;2;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;19200;0;0
04.06.2020 05:00;3;24000;1;0;1;0;0;0;27;161400;0;0;2;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2400;0;0;0;0;0;0;0;0;0;0;0;0;44;167400;0;0
04.06.2020 06:00;8;54000;2;1200;13;120600;0;0;11;62400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;12600;0;0;2;12000;0;0;0;0;0;0;0;0;93;348600;0;0
04.06.2020 07:00;38;228000;6;46800;35;283200;3;3000;8;74400;0;0;0;0;0;0;0;0;5;3600;2;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;39000;0;0;12;56400;0;0;0;0;0;0;0;0;116;538800;0;0
04.06.2020 08:00;24;143400;9;6600;60;253200;3;37800;7;47400;0;0;0;0;0;0;2;1200;3;1800;2;1200;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;16;14400;0;0;12;47400;0;0;0;0;0;0;0;0;100;480600;0;0
04.06.2020 09:00;26;217200;14;9600;48;356400;2;22800;7;215400;1;600;2;600;0;0;1;600;3;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;25200;0;0;6;27000;0;0;0;0;0;0;0;0;94;417000;0;0
