01.06.2020 00:00;Bel_A51_M1S_494;Vwz_A51_M1S_494;Bel_A54_M4SL_506;Vwz_A54_M4SL_506;Bel_A55_M3S_505;Vwz_A55_M3S_505;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_Fiber_reserve;Vwz_Fiber_reserve;Bel_H51_A74/M1S_493;Vwz_H51_A74/M1S_493;Bel_H54_M3SL_1289;Vwz_H54_M3SL_1289;Bel_H55_A30/M3S_504;Vwz_H55_A30/M3S_504;Bel_LLB-Test;Vwz_LLB-Test;Bel_Power_on;Vwz_Power_on;Bel_Sync;Vwz_Sync;Bel_foult;Vwz_foult
04.06.2020 22:00;6;6000;4;4000;10;10000;13;9240;36;27710;59;35524;0;0;6;6000;5;5000;9;9000;0;0;0;0;0;0;0;0
04.06.2020 23:00;4;4000;4;4053;7;6990;10;7850;18;13590;45;29590;0;0;4;3990;3;2990;8;8000;0;0;0;0;0;0;0;0
05.06.2020 00:00;6;6000;3;3000;5;5000;5;2770;9;5370;29;17440;0;0;6;6000;3;3000;4;4000;0;0;0;0;0;0;0;0
05.06.2020 01:00;0;0;0;0;0;0;4;2930;8;7170;18;12990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 02:00;0;0;0;0;0;0;2;1470;3;2080;11;8370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.06.2020 03:00;0;0;0;0;2;2000;3;700;3;1560;9;7540;0;0;0;0;0;0;2;2000;0;0;0;0;0;0;0;0
05.06.2020 04:00;2;2000;0;0;3;3000;1;600;6;7200;13;12930;0;0;2;2000;0;0;3;3000;0;0;0;0;0;0;0;0
05.06.2020 05:00;8;8000;2;2000;14;13980;13;8570;33;26800;40;30960;0;0;8;7990;2;1990;14;13990;0;0;0;0;0;0;0;0
05.06.2020 06:00;14;13980;4;3990;20;19980;30;19110;73;68151;102;75880;0;0;14;14000;4;4000;20;20000;0;0;0;0;0;0;0;0
05.06.2020 07:00;16;15950;4;3990;21;20980;102;107203;134;283560;189;329927;0;0;16;16000;4;4000;21;20960;0;0;0;0;0;0;0;0
05.06.2020 08:00;16;15980;5;4990;20;19990;84;140230;178;391190;245;552122;0;0;16;15990;4;3990;20;19960;0;0;0;0;0;0;0;0
05.06.2020 09:00;16;15990;4;4000;20;20000;94;77696;195;270329;248;630720;0;0;16;15970;4;4000;20;19980;0;0;0;0;0;0;0;0
05.06.2020 10:00;16;16000;4;4000;19;19090;97;405865;215;352480;286;686951;0;0;16;16044;4;4000;17;16980;0;0;0;0;0;0;0;0
05.06.2020 11:00;16;15970;4;4000;21;20990;99;704545;255;434670;305;848879;0;0;16;15990;4;4000;21;21034;0;0;0;0;0;0;0;0
05.06.2020 12:00;16;15970;5;5000;21;21031;109;102060;224;465787;304;708890;0;0;16;15980;5;5000;21;21000;0;0;0;0;0;0;0;0
05.06.2020 13:00;15;14990;4;4000;20;19990;104;173586;213;541180;301;633090;0;0;15;14980;4;4000;21;21000;0;0;0;0;0;0;0;0
05.06.2020 14:00;17;17000;4;4000;22;21970;100;173773;218;551119;335;645970;0;0;18;18000;4;4000;21;20970;0;0;0;0;0;0;0;0
05.06.2020 15:00;17;16990;4;3990;20;19990;86;163793;234;381488;287;649853;0;0;16;15970;4;3990;19;18980;0;0;0;0;0;0;0;0
05.06.2020 16:00;16;15970;4;4000;19;18960;73;450551;176;334675;319;783256;0;0;16;15990;4;3990;20;20025;0;0;0;0;0;0;0;0
05.06.2020 17:00;16;15970;4;4000;20;20096;83;137800;173;304435;277;378501;0;0;16;15980;4;3980;19;18980;0;0;0;0;0;0;0;0
05.06.2020 18:00;16;15990;4;4000;19;19000;74;67510;173;292610;235;572057;0;0;16;15980;4;3990;20;19960;0;0;0;0;0;0;0;0
05.06.2020 19:00;12;11990;4;4000;13;12960;41;31260;126;233730;180;272140;0;0;12;11990;4;4000;11;10990;0;0;0;0;0;0;0;0
05.06.2020 20:00;8;7990;4;4000;12;11970;30;24280;87;147638;137;110930;0;0;8;7990;4;4000;12;11980;0;0;0;0;0;0;0;0
05.06.2020 21:00;7;7000;4;4000;12;12000;30;18660;59;46600;104;79213;0;0;7;6990;5;5000;11;11160;0;0;0;0;0;0;0;0
05.06.2020 22:00;6;5990;4;4000;9;9052;20;15290;32;25072;87;70510;0;0;6;6000;4;3990;9;9000;0;0;0;0;0;0;0;0
05.06.2020 23:00;4;4000;5;5000;8;8000;19;14340;31;24890;50;36510;0;0;4;3990;4;4000;8;7980;0;0;0;0;0;0;0;0
06.06.2020 00:00;6;5980;2;2000;4;3980;13;9580;22;16610;46;35020;0;0;6;5990;2;2000;4;3990;0;0;0;0;0;0;0;0
06.06.2020 01:00;0;0;0;0;0;0;10;4330;17;13500;36;21116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.06.2020 02:00;0;0;0;0;0;0;7;5700;7;5280;21;14090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.06.2020 03:00;0;0;0;0;2;2000;3;3030;6;5520;19;14500;0;0;0;0;0;0;2;2000;0;0;0;0;0;0;0;0
06.06.2020 04:00;2;2000;0;0;3;3000;5;3520;10;7510;15;12660;0;0;2;1990;0;0;3;3000;0;0;0;0;0;0;0;0
06.06.2020 05:00;6;5990;3;2990;11;11000;10;10880;10;13290;31;22650;0;0;6;6000;3;3000;11;11000;0;0;0;0;0;0;0;0
06.06.2020 06:00;8;8000;3;3000;12;12000;13;9430;15;11560;47;36980;0;0;8;8000;4;3990;12;11990;0;0;0;0;0;0;0;0
06.06.2020 07:00;8;8000;4;4000;12;11990;9;6230;28;21320;49;37230;0;0;8;7990;4;4000;12;12000;0;0;0;0;0;0;0;0
06.06.2020 08:00;8;7990;4;4000;12;11990;27;21350;48;37710;71;49660;0;0;8;8000;4;3990;12;12000;0;0;0;0;0;0;0;0
06.06.2020 09:00;8;8000;4;4000;12;11990;37;21390;116;115090;109;98338;0;0;8;7970;4;4000;12;12000;0;0;0;0;0;0;0;0
06.06.2020 10:00;7;7000;4;4000;11;10990;47;38110;143;274240;200;272210;0;0;8;7990;3;3000;12;11980;0;0;0;0;0;0;0;0
06.06.2020 11:00;9;9000;4;3980;12;12000;50;37980;156;327300;227;247214;0;0;8;8000;4;4000;11;11000;0;0;0;0;0;0;0;0
06.06.2020 12:00;8;7990;4;3990;13;13000;65;46860;188;378255;243;410736;0;0;8;8000;5;4980;13;12990;0;0;0;0;0;0;0;0
06.06.2020 13:00;7;7000;5;5000;11;10980;54;45770;150;193950;225;333393;0;0;8;7990;4;3990;12;12000;0;0;0;0;0;0;0;0
06.06.2020 14:00;9;8350;3;2990;12;12000;68;52920;161;225450;271;423100;0;0;8;7990;4;4000;12;11970;0;0;0;0;0;0;0;0
06.06.2020 15:00;8;8640;4;4000;11;10990;64;48530;169;276036;257;288086;0;0;8;7990;3;2990;12;12032;0;0;0;0;0;0;0;0
