01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_T3_4;Vwz_T3_4;Bel_T7_8;Vwz_T7_8
17.06.2020 20:00;17;456327;64;793088;10;5670;0;3600000
17.06.2020 21:00;20;320959;49;955233;5;5610;0;3600000
17.06.2020 22:00;10;253974;25;508739;7;2060;0;3600000
17.06.2020 23:00;10;165110;15;292484;1;440;0;3600000
18.06.2020 00:00;1;540;9;35043;0;0;0;3600000
18.06.2020 01:00;1;840;5;7710;0;0;0;3600000
18.06.2020 02:00;2;1690;4;4760;0;0;0;3600000
18.06.2020 03:00;1;480;1;1090;0;0;0;3600000
18.06.2020 04:00;3;3850;1;2640;0;0;0;3600000
18.06.2020 05:00;14;11620;13;13730;0;0;0;3600000
18.06.2020 06:00;24;399917;36;787408;5;3350;0;3600000
18.06.2020 07:00;69;858737;58;1103481;17;7940;0;3600000
18.06.2020 08:00;59;690797;69;1177771;8;5170;0;3600000
18.06.2020 09:00;59;689514;61;927911;14;7530;0;3600000
18.06.2020 10:00;64;583300;94;1240194;6;9620;0;3600000
18.06.2020 11:00;44;519569;114;1525310;10;4790;0;3600000
18.06.2020 12:00;55;549923;139;1662625;17;12490;0;3600000
18.06.2020 13:00;66;736820;133;1409581;5;4170;0;3600000
18.06.2020 14:00;61;485889;120;1363435;12;10230;0;3600000
18.06.2020 15:00;74;984081;153;1749107;11;13300;0;3600000
